Samples,Malodour,Cluster_3,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_28,Cluster_30,Cluster_31,Cluster_33,Cluster_34,Cluster_40,Cluster_54,Cluster_55,Cluster_59,Cluster_67,Cluster_81,Cluster_85,Cluster_87,Cluster_88,Cluster_91,Cluster_99,Cluster_116,Cluster_134,Cluster_168,Cluster_175,Cluster_211,Cluster_225,Cluster_265,Cluster_271,Cluster_281,Cluster_337,Cluster_497,Cluster_558,Cluster_644,Cluster_2338,Cluster_2466,Cluster_2471,Cluster_2474,Cluster_2475,Cluster_2478,Cluster_2483,Cluster_2484,Cluster_2487,Cluster_2488,Cluster_2490,Cluster_2496,Cluster_2499,Cluster_2505,Cluster_2507,Cluster_2529,Cluster_2599,Cluster_2820,Cluster_2862,Cluster_2863,Cluster_2907,Cluster_3096,Cluster_3115,Cluster_3116,Cluster_3118,Cluster_3122,Cluster_3128,Cluster_3142,Cluster_3144,Cluster_3156,Cluster_3276,Cluster_3304,Cluster_3380,Cluster_3392,Cluster_3396,Cluster_3408,Cluster_3413,Cluster_3414,Cluster_3427,Cluster_3430,Cluster_3452,Cluster_3453,Cluster_3480,Cluster_3484,Cluster_3489,Cluster_3510,Cluster_3527,Cluster_3557,Cluster_3574,Cluster_3585,Cluster_3592,Cluster_3601,Cluster_3702,Cluster_3703,Cluster_3704,Cluster_3709,Cluster_3715,Cluster_3726,Cluster_3731,Cluster_3732,Cluster_3746,Cluster_3751,Cluster_3769,Cluster_3792,Cluster_3818,Cluster_3838
Ig9462,N,1,414,44,127,4,0,782,21,1,514,132,2,0,9,35,0,1,0,0,38,1,1,2,9,3,0,0,0,0,0,1,0,1,4,0,0,0,1,9,1,1,4,2,0,1,0,6,15,7,0,3,0,0,0,0,0,0,6,12,107,12,10,1,1,0,232,0,53,3,0,137,27,11,0,1,1,1,0,0,0,3,1,4,0,1,1,0,0,0,1,1,0,0,0,0,9,1,0,6,1,1,0,0,1,0,0,0,1
Ig9463,N,19,271,138,1,6,0,389,108,128,376,67,0,0,1,2,4,0,0,0,2,0,0,0,0,0,261,0,0,0,0,3,0,2,0,5,5,0,0,9,0,0,0,7,1,1,0,213,0,2,0,9,0,0,1,0,0,0,43,9,43,67,8,6,9,0,103,32,84,0,6,40,7,2,0,12,0,13,0,1,10,0,0,0,8,5,2,0,0,0,0,0,0,0,1,1,70,2,15,8,0,0,7,104,99,25,0,0,0
Ig9464,N,35,100,116,385,1,156,484,151,141,527,3,1,0,0,0,6,4,4,0,19,52,3,0,8,0,0,2,0,0,0,0,0,0,5,0,0,0,8,1,1,3,0,6,0,1,0,81,0,0,0,0,1,0,0,0,0,0,5,2,60,43,16,2,9,1,237,1,13,3,0,29,35,7,0,12,0,3,0,2,0,0,0,0,3,1,0,4,14,2,16,0,17,1,0,0,39,2,7,3,0,0,11,14,0,0,0,2,0
Ig9465,N,31,218,98,174,11,226,473,237,20,237,43,5,1,3,5,28,4,10,0,33,46,5,0,4,5,0,4,0,2,1,1,0,0,6,0,0,0,3,6,0,1,2,3,3,18,6,58,10,4,1,0,1,0,0,1,1,0,88,3,101,39,16,2,12,2,198,8,28,0,0,59,46,17,0,27,35,1,0,7,1,7,22,0,1,2,2,1,0,0,11,1,0,6,0,0,22,2,2,4,1,0,0,17,18,1,0,10,1
Ig9466,N,85,220,73,72,5,0,644,134,166,136,150,3,4,3,0,17,0,8,0,3,5,3,0,1,2,157,3,0,0,0,0,0,0,3,0,2,0,2,0,0,1,0,3,0,10,4,297,11,8,1,0,0,0,2,4,0,0,81,1,66,29,16,0,4,0,94,21,10,0,1,32,38,10,0,43,11,11,2,0,0,6,0,0,9,6,0,1,0,0,0,2,0,0,0,0,30,0,5,5,0,1,1,86,7,0,0,16,4
Ig9467,N,60,76,43,100,5,68,339,191,67,683,54,2,11,1,38,0,3,0,0,5,29,1,6,0,6,21,0,0,0,0,2,0,0,0,7,12,0,1,1,0,1,0,2,0,13,16,66,6,5,4,0,0,0,2,1,0,0,57,1,108,49,14,3,2,0,433,0,13,4,1,24,59,26,0,0,6,0,1,2,0,14,1,0,0,4,0,4,0,0,0,1,0,0,0,7,40,0,3,24,4,0,3,30,4,0,0,0,0
Ig9468,N,10,303,85,165,4,3,403,131,41,682,15,3,0,0,0,0,2,0,6,0,9,0,0,25,1,4,0,0,0,7,0,0,0,1,0,0,0,0,2,0,0,5,22,2,1,0,0,7,0,0,0,0,0,0,0,0,0,7,36,154,32,16,0,17,0,411,1,43,0,0,152,31,6,0,5,2,2,1,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,12,9,0,11,0,1,4,8,2,0,0,0,0
Ig9469,N,33,257,30,22,2,0,1099,120,59,156,7,17,0,8,1,0,1,0,0,1,1,3,0,15,0,62,0,0,0,0,0,0,0,0,1,1,0,3,0,0,1,19,14,1,9,0,0,5,0,0,2,0,0,4,0,0,0,17,17,51,27,7,1,13,0,373,2,64,0,0,298,19,9,0,3,0,0,0,0,0,0,0,0,6,4,0,1,0,0,0,2,0,0,0,0,3,0,2,0,0,0,1,24,0,0,0,4,0
Ig9470,P,18,179,87,34,8,12,410,225,21,262,37,6,0,24,1,0,3,0,6,21,21,2,0,1,1,28,2,1,1,0,2,2,0,2,12,2,0,0,5,2,0,0,7,3,92,3,175,4,3,3,0,0,3,0,1,0,0,187,3,68,21,7,2,12,4,185,39,39,0,1,91,120,32,0,94,3,4,5,2,4,2,2,0,24,3,1,2,0,0,3,0,0,1,6,2,39,6,1,0,1,1,3,94,23,5,0,0,1
Ig9471,P,29,192,129,7,6,64,550,226,98,197,37,2,4,6,1,0,7,0,0,3,9,0,0,0,9,11,2,1,0,0,15,5,5,0,0,2,0,1,4,4,0,0,6,6,7,12,318,10,14,0,2,8,0,0,2,0,1,88,2,122,32,8,0,2,18,88,27,25,0,2,22,68,12,0,45,3,11,0,1,0,4,3,0,13,17,1,4,4,0,0,3,0,0,11,0,46,3,2,21,0,0,3,112,19,2,0,0,3
Ig9472,P,49,129,141,179,0,47,256,157,96,219,35,5,4,0,0,0,2,0,0,0,220,1,0,5,11,0,4,3,0,3,0,13,0,4,0,0,0,0,1,0,1,4,1,2,16,138,47,1,0,18,0,0,20,0,29,1,0,53,0,71,32,27,1,8,0,420,16,8,1,1,28,128,57,0,18,9,1,2,2,0,0,1,0,5,0,1,1,0,0,0,24,0,1,0,1,13,1,2,4,1,2,1,36,4,1,4,0,0
Ig9473,P,19,177,81,205,19,38,432,296,168,192,41,1,1,3,21,25,8,8,0,0,3,4,0,1,0,5,2,7,0,0,1,0,5,6,1,0,0,2,6,0,3,0,7,0,7,0,208,5,2,0,0,5,0,1,2,3,1,63,2,41,12,9,0,16,4,227,11,27,1,0,38,31,2,0,9,3,0,0,1,2,9,2,1,7,0,4,0,113,6,2,0,16,0,4,0,14,0,3,4,1,0,12,95,0,2,17,1,1
Ig9474,P,96,157,51,29,70,20,661,265,129,176,101,3,5,0,234,0,1,0,0,0,3,5,0,0,1,0,6,0,1,0,1,1,1,3,2,0,0,0,4,0,0,0,9,0,7,0,139,6,0,0,0,19,0,0,0,2,5,26,6,35,11,14,1,7,0,187,29,26,1,0,46,26,7,0,96,6,1,0,2,0,0,1,0,5,0,0,2,0,0,0,0,0,0,0,2,24,0,13,4,0,0,9,78,0,0,0,11,0
Ig9475,P,23,168,43,80,29,48,714,144,227,266,5,0,0,0,54,0,2,0,0,0,2,0,0,5,1,0,17,0,0,0,2,1,6,7,6,0,0,1,0,0,1,5,8,0,157,6,34,16,2,4,2,0,1,3,0,0,0,21,0,28,69,10,0,23,0,290,45,21,4,0,8,37,11,0,29,14,2,0,7,0,0,3,0,10,2,2,1,10,0,0,0,0,0,0,1,12,0,6,6,0,1,5,106,5,0,0,3,0
Ig9476,P,24,134,59,41,32,288,199,189,70,526,45,2,0,3,0,58,2,15,0,3,11,0,0,0,0,0,4,75,0,1,0,0,23,0,0,0,0,0,7,4,0,0,1,0,40,8,312,9,22,1,15,21,0,6,3,3,0,20,0,14,20,2,0,22,29,316,1,101,1,0,40,7,2,0,0,0,0,0,0,1,0,0,0,2,0,0,2,3,0,3,0,0,0,1,1,2,0,2,0,0,0,0,19,10,2,0,0,0
Ig9477,P,14,161,136,79,11,56,815,107,141,94,47,1,0,8,13,18,2,5,0,11,2,3,0,0,2,1,1,0,0,0,4,1,0,4,3,0,0,0,1,1,2,0,6,0,15,4,304,4,11,0,5,3,0,4,1,0,1,100,0,43,20,3,0,9,4,32,14,13,108,12,41,58,10,5,54,5,5,1,0,15,1,2,0,9,0,0,2,6,2,0,0,1,9,5,0,25,0,10,0,0,0,7,93,18,4,1,6,0
Ig9478,P,33,111,73,86,15,5,474,232,20,214,94,1,3,0,257,6,2,0,0,41,25,2,0,1,7,0,2,1,1,0,0,0,0,0,4,0,0,0,1,6,1,1,1,1,32,20,141,3,15,6,0,3,0,2,1,0,0,75,0,56,20,17,0,7,0,156,6,42,0,0,50,52,15,0,110,19,1,0,2,0,28,6,0,41,0,0,0,0,0,1,0,0,1,0,2,51,2,4,15,3,0,0,102,3,0,0,0,4
