,Ig9373,Ig9374,Ig9375,Ig9376,Ig9377,Ig9378,Ig9379,Ig9380,Ig9381,Ig9382,Ig9383,Ig9384,Ig9385,Ig9386,Ig9387,Ig9388,Ig9389,Ig9390,Ig9391,Ig9392,Ig9393,Ig9394,Ig9395,Ig9396,Ig9397,Ig9398,Ig9399,Ig9400,Ig9401,Ig9402,Ig9403,Ig9404,Ig9405,Ig9406,Ig9407,Ig9408,Ig9409,Ig9410,Ig9411,Ig9412,Ig9413,Ig9414,Ig9415,Ig9416,Ig9417,Ig9418,Ig9419,Ig9420,Ig9421,Ig9422,Ig9423,Ig9424,Ig9425,Ig9426,Ig9427,Ig9428,Ig9429,Ig9430,Ig9431,Ig9432,Ig9433,Ig9434,Ig9435,Ig9436,Ig9437,Ig9438,Ig9439,Ig9440,Ig9441,Ig9442,Ig9459,Ig9460,Ig9461,Ig9462,Ig9463,Ig9464,Ig9465,Ig9466,Ig9467,Ig9468,Ig9469,Ig9470,Ig9471,Ig9472,Ig9473,Ig9474,Ig9475,Ig9476,Ig9477,Ig9478
Cluster_2505,0,0,8,0,0,7,2,0,7,6,0,0,0,0,0,1,0,0,0,5,0,0,2,0,0,17,0,4,0,4,0,0,13,0,2,34,1,1,5,0,1,0,0,3,0,2,0,1,13,0,1,1,0,0,25,1,3,3,0,1,30,22,0,0,0,1,0,9,3,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,3,2,0,3,0,0
Cluster_2507,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,5,0,0,0,0,6,0,0,0,0,0,13,0,0,0,48,1,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,1,0
Cluster_2529,9,13,65,42,10,1,148,8,32,60,40,25,32,115,74,61,103,10,52,54,37,66,52,45,23,33,22,13,38,82,29,19,64,95,22,27,37,69,35,90,38,116,100,57,160,45,36,14,92,25,33,39,131,39,52,45,31,26,29,144,80,96,144,63,23,12,36,64,59,57,9,14,40,6,43,5,88,81,57,7,17,187,88,53,63,26,21,20,100,75
Cluster_2599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,4,2,0,7,1,1,5,0,0,0,0,3,2,0,2,1,24,0,1,1,0,1,2,4,9,0,0,0,0,0,2,1,0,0,0,2,0,0,0,6,0,0,12,9,2,3,1,1,36,17,3,2,0,2,6,0,0,0,0
Cluster_2820,16,19,52,71,26,13,29,33,101,53,47,42,144,31,85,83,84,72,80,43,88,137,62,56,53,17,41,23,31,37,34,44,71,91,41,33,144,109,55,251,70,100,37,47,41,41,56,65,102,68,25,32,50,75,57,33,39,35,61,61,20,45,76,75,54,37,44,55,58,69,86,10,24,107,43,60,101,66,108,154,51,68,122,71,41,35,28,14,43,56
Cluster_2862,11,25,13,23,34,16,29,65,25,79,63,30,46,34,29,50,64,16,31,11,31,72,78,47,21,9,37,16,55,15,0,39,18,35,29,18,24,21,40,89,37,51,49,45,52,14,69,47,45,13,15,16,40,17,20,15,8,9,13,12,23,12,48,107,16,25,7,66,43,23,17,6,33,12,67,43,39,29,49,32,27,21,32,32,12,11,69,20,20,20
Cluster_2863,4,11,8,13,7,5,1,8,30,5,18,11,20,14,32,8,22,6,13,5,10,23,11,7,11,7,16,10,1,3,25,21,2,7,18,2,24,11,9,2,29,7,12,9,6,9,1,16,4,7,3,3,3,13,6,16,11,1,27,7,11,5,18,10,1,16,7,11,11,13,17,3,7,10,8,16,16,16,14,16,7,7,8,27,9,14,10,2,3,17
Cluster_2907,0,0,1,1,4,2,1,3,1,5,7,3,1,1,3,0,5,0,0,0,1,2,1,0,2,0,6,0,3,3,0,0,0,0,1,0,1,0,3,6,4,0,0,1,3,0,0,3,0,0,0,0,2,2,3,0,0,1,2,1,0,0,0,7,0,1,0,0,0,1,0,1,1,1,6,2,2,0,3,0,1,2,0,1,0,1,0,0,0,0
Cluster_3096,54,10,14,39,0,33,2,1,13,22,14,13,0,12,9,10,11,15,71,10,11,0,3,1,3,27,11,5,8,12,2,13,20,1,5,9,27,9,12,0,3,6,27,7,2,27,0,16,6,5,14,1,1,10,13,5,3,6,7,1,17,3,4,1,0,5,3,25,16,4,19,7,33,1,9,9,12,4,2,17,13,12,2,8,16,7,23,22,9,7
Cluster_3115,0,0,10,7,9,0,12,0,3,0,0,0,0,0,0,0,2,0,0,0,2,0,5,0,0,0,0,0,0,1,0,0,21,0,2,0,0,0,4,0,0,0,9,0,24,34,0,0,0,6,63,2,0,0,0,0,0,13,0,0,13,31,0,0,98,0,18,42,0,0,0,0,0,0,0,1,2,0,0,0,0,4,18,0,4,0,0,29,4,0
Cluster_3116,142,449,192,80,438,616,120,520,103,148,356,453,304,211,355,70,156,385,120,177,337,126,454,444,544,257,482,168,166,133,148,400,33,156,309,69,433,238,361,315,281,143,401,171,213,113,106,247,190,288,179,202,297,207,101,142,242,111,263,22,189,190,127,247,108,366,219,76,238,193,306,264,276,232,103,237,198,94,433,411,373,185,88,420,227,187,290,316,32,156
Cluster_3118,0,2,27,1,5,0,23,0,14,18,4,7,0,23,2,8,3,5,10,62,8,2,12,16,17,1,0,0,18,13,1,6,19,38,30,4,1,6,14,5,32,27,2,18,14,14,4,2,20,4,9,5,46,8,8,23,14,4,7,34,11,13,21,11,11,17,23,20,1,18,3,0,7,0,32,1,8,21,0,1,2,39,27,16,11,29,45,1,14,6
Cluster_3122,71,34,49,55,21,42,30,26,14,23,40,14,4,48,32,24,43,18,67,34,32,6,17,0,8,39,26,24,25,13,11,12,18,22,8,31,36,22,30,24,4,10,29,11,15,13,30,24,9,35,16,7,19,21,18,18,11,13,5,15,20,11,14,4,2,9,35,45,34,12,100,29,48,53,84,13,28,10,13,43,64,39,25,8,27,26,21,101,13,42
Cluster_3128,1,2,2,0,1,4,0,2,2,5,4,6,7,0,4,1,3,6,0,4,3,0,4,6,1,2,7,3,1,1,3,2,3,1,2,0,2,2,4,1,3,2,4,1,0,0,2,2,1,2,1,1,3,3,0,0,0,2,3,0,2,3,2,1,0,3,1,1,0,1,4,1,0,3,0,3,0,0,4,0,0,0,0,1,1,1,4,1,108,0
Cluster_3142,1,0,5,1,1,0,0,0,0,1,0,0,2,0,2,1,2,6,1,2,0,0,5,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,1,2,0,2,4,0,2,0,1,0,0,0,1,0,0,1,0,0,0,6,0,2,0,0,2,0,0,0,1,0,2,1,4,3,0,0,6,0,0,1,1,0,0,1,2,1,0,0,0,0,12,0
Cluster_3144,264,108,71,15,62,9,35,88,8,16,107,9,11,35,100,33,47,33,81,15,83,34,28,2,24,51,42,48,66,88,4,30,73,30,17,42,49,23,41,62,30,33,99,20,14,51,11,49,17,129,11,7,46,59,33,52,13,15,4,4,38,14,12,18,6,28,18,70,36,3,337,25,90,137,40,29,59,32,24,152,298,91,22,28,38,46,8,40,41,50
Cluster_3156,41,6,35,1,60,2,127,40,31,112,61,23,128,55,68,90,49,20,15,63,36,60,45,16,64,3,11,17,93,55,2,40,29,156,22,28,41,21,24,24,27,81,24,38,60,2,139,31,126,27,5,31,67,118,66,33,40,21,29,98,16,59,134,28,22,148,31,50,34,80,46,10,14,27,7,35,46,38,59,31,19,120,68,128,31,26,37,7,58,52
Cluster_3276,6,3,19,0,11,1,24,11,7,22,7,5,48,23,32,83,8,2,4,8,15,11,13,1,17,4,14,7,20,26,0,12,14,19,9,9,19,8,5,15,11,17,6,10,12,0,19,3,32,5,5,6,6,49,8,11,7,26,5,28,5,14,21,7,5,39,4,8,8,18,10,6,10,11,2,7,17,10,26,6,9,32,12,57,2,7,11,2,10,15
